Time,Time,timestamps,lon,oxy,car,iron
2022-02-18 00:00:15.851000,2022-02-18 00:00:15.851000,1645142415.851,262.7967544294254,0.04386999,1.1915853,0.09030542
2022-02-18 00:10:15.849000,2022-02-18 00:10:15.849000,1645143015.849,262.70291791658866,0.052620187,1.066372,0.09620978
2022-02-18 00:20:15.847000,2022-02-18 00:20:15.847000,1645143615.847,262.6090827947544,0.05017219,1.3918023,0.11299258
2022-02-18 00:30:15.845000,2022-02-18 00:30:15.845000,1645144215.845,262.5152490648525,0.048351407,1.2348359,0.1119611
2022-02-18 00:40:15.843000,2022-02-18 00:40:15.843000,1645144815.8430002,262.4214167277253,0.054106303,1.3101209,0.10218033
2022-02-18 00:50:15.843000,2022-02-18 00:50:15.843000,1645145415.8430002,262.3275854715131,0.04314536,1.3736624,0.104058675
2022-02-18 01:00:15.841000,2022-02-18 01:00:15.841000,1645146015.8409998,262.23375592265995,0.04450554,1.1375424,0.12528984
2022-02-18 01:10:15.839000,2022-02-18 01:10:15.839000,1645146615.839,262.1399277692436,0.04005,1.3915902,0.09765474
2022-02-18 01:20:15.837000,2022-02-18 01:20:15.837000,1645147215.837,262.04610101218213,0.031742886,1.1587912,0.10553597
2022-02-18 01:30:15.835000,2022-02-18 01:30:15.835000,1645147815.835,261.95227565234956,0.030220252,1.3142438,0.10359714
2022-02-18 02:03:34.965000,2022-02-18 02:03:34.965000,1645149814.965,261.6396695524613,0.04690163,1.3366178,0.10886703
2022-02-18 02:13:34.969000,2022-02-18 02:13:34.969000,1645150414.969,261.5458493173979,0.050141096,1.3670881,0.11209303
2022-02-18 02:23:34.967000,2022-02-18 02:23:34.967000,1645151014.967,261.4520314225206,0.035739217,1.2790321,0.10979587
2022-02-18 02:33:34.965000,2022-02-18 02:33:34.965000,1645151614.965,261.3582149304989,0.045529805,1.3850281,0.10048748
2022-02-18 02:43:34.963000,2022-02-18 02:43:34.963000,1645152214.963,261.26439984225397,0.04625781,1.2983094,0.11446141
2022-02-18 02:53:34.961000,2022-02-18 02:53:34.961000,1645152814.961,261.17058615865,0.055496316,1.3822929,0.085908264
2022-02-18 03:03:34.959000,2022-02-18 03:03:34.959000,1645153414.959,261.0767738806246,0.063627936,1.2302499,0.113812715
